length,hydrophobic_ratio,polar_ratio,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,acr_type
1133,0.46954986760812,0.21535745807590467,0.09443954104148279,0.00706090026478376,0.04060017652250662,0.05648720211827008,0.05648720211827008,0.08296557811120918,0.00794351279788173,0.06972639011473963,0.03353927625772286,0.09885260370697264,0.03353927625772286,0.0353045013239188,0.05207413945278023,0.04677846425419241,0.03442188879082083,0.05383936451897617,0.05825242718446602,0.10414827890556046,0.01235657546337158,0.02118270079435128,unknown
1108,0.45306859205776173,0.2003610108303249,0.09386281588447654,0.00631768953068592,0.05144404332129964,0.06768953068592058,0.048736462093862815,0.07942238267148015,0.011732851985559567,0.06949458483754513,0.02707581227436823,0.10649819494584838,0.02888086642599278,0.02527075812274368,0.04422382671480144,0.05144404332129964,0.058664259927797835,0.05324909747292419,0.05415162454873646,0.0983754512635379,0.007220216606498195,0.016245487364620937,unknown
1133,0.4510150044130627,0.2082965578111209,0.1059135039717564,0.00794351279788173,0.04324801412180053,0.06707855251544571,0.03265666372462489,0.07325684024713151,0.0088261253309797,0.07325684024713151,0.02206531332744925,0.10767872903795234,0.02030008826125331,0.02559576345984113,0.05383936451897617,0.0353045013239188,0.06443071491615181,0.06354810238305383,0.06354810238305383,0.0970873786407767,0.01412180052956752,0.02030008826125331,unknown
1118,0.4525939177101968,0.20304114490161002,0.08765652951699464,0.0017889087656529517,0.05813953488372093,0.05456171735241502,0.03398926654740608,0.06618962432915922,0.01520572450805009,0.06708407871198568,0.01967799642218247,0.11001788908765653,0.025044722719141325,0.03220035778175313,0.06350626118067978,0.03667262969588551,0.06529516994633273,0.050983899821109124,0.05813953488372093,0.11359570661896243,0.01520572450805009,0.025044722719141325,unknown
1181,0.45385266723116,0.21168501270110077,0.0829805249788315,0.003386960203217612,0.04318374259102455,0.060118543607112614,0.03302286198137172,0.07197290431837426,0.01100762066045724,0.06519898391193904,0.0279424216765453,0.1397121083827265,0.02201524132091448,0.03810330228619814,0.060118543607112614,0.04149026248941575,0.056731583403895,0.06181202370872142,0.05165114309906858,0.09906858594411516,0.011854360711261643,0.018628281117696866,unknown
1111,0.4527452745274527,0.21422142214221424,0.08820882088208822,0.0027002700270027003,0.050405040504050404,0.0558055805580558,0.0333033303330333,0.0702070207020702,0.012601260126012601,0.07560756075607561,0.023402340234023402,0.10711071107110712,0.027002700270027002,0.036003600360036005,0.0612061206120612,0.034203420342034205,0.05670567056705671,0.063006300630063,0.0558055805580558,0.10621062106210621,0.0153015301530153,0.025202520252025202,unknown
464,0.4418103448275862,0.2349137931034483,0.09482758620689655,0.0021551724137931034,0.03879310344827586,0.05603448275862069,0.05172413793103448,0.09267241379310345,0.010775862068965518,0.04741379310344827,0.02586206896551724,0.11206896551724138,0.03879310344827586,0.04956896551724138,0.040948275862068964,0.04310344827586207,0.05603448275862069,0.06896551724137931,0.04525862068965517,0.08836206896551724,0.008620689655172414,0.028017241379310345,unknown
1057,0.44843897824030277,0.20719016083254493,0.1021759697256386,0.000946073793755913,0.04919583727530748,0.05392620624408704,0.048249763481551564,0.07190160832544938,0.01608325449385052,0.05392620624408704,0.026490066225165563,0.10406811731315042,0.023651844843897825,0.020813623462630087,0.05581835383159887,0.04730368968779565,0.07000946073793755,0.06244087038789026,0.05676442762535478,0.10501419110690634,0.011352885525070956,0.019867549668874173,unknown
470,0.4595744680851064,0.26595744680851063,0.10425531914893617,0.0,0.04042553191489362,0.05106382978723404,0.029787234042553193,0.07021276595744681,0.002127659574468085,0.06382978723404255,0.029787234042553193,0.10851063829787234,0.036170212765957444,0.04042553191489362,0.0425531914893617,0.05531914893617021,0.03829787234042553,0.07659574468085106,0.07021276595744681,0.1127659574468085,0.00425531914893617,0.023404255319148935,unknown
1056,0.4479166666666667,0.20928030303030304,0.10416666666666667,0.000946969696969697,0.050189393939393936,0.05113636363636364,0.04734848484848485,0.07102272727272728,0.016098484848484848,0.05776515151515151,0.026515151515151516,0.10132575757575757,0.02556818181818182,0.022727272727272728,0.05587121212121212,0.045454545454545456,0.07102272727272728,0.06060606060606061,0.05965909090909091,0.10037878787878787,0.011363636363636364,0.020833333333333332,unknown
